"","geography","estimate_jobs_onet","estimate_wages_onet","estimate_jobs_manual","estimate_wages_manual","total_employment","total_wages","province","territory","canada","city"
"2","Kitchener   Cambridge   Waterloo","0.41575703020865","0.528748899512728","0.374013597183441","0.488213933103634","286295","22257657",0,0,0,1
"3","Oshawa","0.415296149983459","0.505083041391923","0.366366159847954","0.461868637805735","198265","22778441",0,0,0,1
"4","St. Catharines   Niagara","0.33932853026396","0.425005066328187","0.309896025366861","0.401376629861218","202065","20574909",0,0,0,1
"5","Saskatchewan","0.340674187100463","0.3998329090476","0.320166186458119","0.392379196338862","576450","26215400",1,0,0,0
"6","Prince Edward Island","0.332797293674751","0.429481392268016","0.306926528323051","0.414498580151478","79310","14059368",1,0,0,0
"7","Hamilton","0.415204441507005","0.528878122247403","0.374417413572343","0.491433154992449","387985","25176199",0,0,0,1
"8","Calgary","0.452198556784162","0.598367694273313","0.41059931046134","0.55441984104421","791040","31334297",0,0,0,1
"9","Trois Rivieres","0.364950040047615","0.441085507856815","0.324282920469361","0.405638877075167","75960","15139321",0,0,0,1
"10","Yukon","0.409340014428045","0.487608942496639","0.391267317737906","0.488370131999189","21550","11436649",0,1,0,0
"11","Guelph","0.404498736159193","0.521554881427136","0.369696183558169","0.485393957528875","86050","18680375",0,0,0,1
"12","Saskatoon","0.374500287076626","0.448604235708358","0.346775646221742","0.435448546594184","164900","23624289",0,0,0,1
"13","Saguenay","0.348263911410445","0.399346022382325","0.305901294197783","0.367099577335836","79030","15932165",0,0,0,1
"14","Newfoundland and Labrador","0.308916416754177","0.372893520503059","0.280686885064672","0.355122285833409","268035","24718150",1,0,0,0
"15","Moncton","0.43295283297563","0.530310975573924","0.376767645025454","0.48194998044566","78700","15545931",0,0,0,1
"16","Regina","0.422097723275972","0.501298737435738","0.382967402262798","0.480481276819241","132325","23390821",0,0,0,1
"17","Barrie","0.373739508778488","0.446265092251135","0.330089854673818","0.405259100858664","107900","18789728",0,0,0,1
"18","Ottawa   Gatineau","0.523593399428886","0.649269972581488","0.487840333232311","0.624194862463811","696530","24578587",0,0,0,1
"19","Peterborough","0.364855226189948","0.446904499270719","0.328774798705072","0.420236635623837","59715","14931007",0,0,0,1
"20","Victoria","0.429977827947461","0.530094042933083","0.403127210265737","0.50958078362893","192605","21076861",0,0,0,1
"21","Greater Sudbury","0.351791526780807","0.397146372491604","0.326429114738751","0.388324451384233","84365","17791939",0,0,0,1
"22","Winnipeg","0.414476200480312","0.504916479809498","0.37115926750687","0.475700855395151","417195","23866617",0,0,0,1
"23","Quebec City","0.450928121619845","0.55023290260115","0.407385261067738","0.515104180533263","434405","21992509",0,0,0,1
"24","Nova Scotia","0.373506251071182","0.452868623938464","0.335061186430023","0.42068614806097","465630","23062465",1,0,0,0
"25","Halifax","0.451539515628804","0.546707355243166","0.402537459864431","0.500936180624931","216965","20932365",0,0,0,1
"26","Northwest Territories","0.42181817254638","0.509860737474083","0.39707413577676","0.500591866169942","23345","19310276",0,1,0,0
"27","Vancouver","0.447431150388254","0.554377697300253","0.411604817093888","0.527113579060873","1315700","27021577",0,0,0,1
"28","British Columbia","0.396821849233134","0.482526386009204","0.368473431414264","0.464064049310614","2417310","26874455",1,0,0,0
"29","Ottawa   Gatineau (Quebec part) City","0.48333044644955","0.595413319569062","0.440374172747327","0.570575604146901","174410","19906534",0,0,0,1
"30","Brantford","0.330471285475116","0.412366848890366","0.291537964226708","0.371657931857322","69100","16434337",0,0,0,1
"31","Belleville","0.333954044637728","0.391070141066748","0.278984443792193","0.332405415264148","48810","13116806",0,0,0,1
"32","Manitoba","0.372492153586204","0.450786617457528","0.336538607115821","0.426572283807375","652290","24924443",1,0,0,0
"33","Lethbridge","0.338569156124479","0.399527120321826","0.311809936908517","0.38587033709421","62680","16484081",0,0,0,1
"34","Quebec","0.408809232198767","0.512528433849389","0.363192924549462","0.475387476618535","4191920","24165273",1,0,0,0
"35","Ontario","0.431639052193588","0.558366429902999","0.392294113740604","0.524592630135131","6933760","27091847",1,0,0,0
"36","Alberta","0.380370606928221","0.470872722364486","0.351177503429355","0.448023419173215","2245940","32208230",1,0,0,0
"37","Windsor","0.339746851862273","0.41815387018951","0.301423078135342","0.381338908510628","157535","18856668",0,0,0,1
"38","New Brunswick","0.357931386708757","0.431048371733297","0.315840506133388","0.400854548503337","379820","22336095",1,0,0,0
"39","Sherbrooke","0.382930706516421","0.461454966286799","0.339080856945404","0.430178843226757","107350","15876696",0,0,0,1
"40","Canada","0.405202573203614","0.509644687955524","0.368025522629278","0.480321999875282","18270965","27296491",0,0,1,0
"41","Ottawa   Gatineau (Ontario part)","0.537004251603915","0.665418139008767","0.503579173668547","0.640784068334017","522090","23743995",0,0,0,1
"42","Thunder Bay","0.353782764716711","0.404507956963968","0.321195349207613","0.383824921611811","62080","17077562",0,0,0,1
"43","St. John's","0.407274195479532","0.494843502639272","0.378128763117151","0.472638667367228","114870","22666315",0,0,0,1
"44","Edmonton","0.385361927238362","0.448612515958142","0.355385724441728","0.433259652978332","740395","30319471",0,0,0,1
"45","Kelowna","0.362908338109138","0.430781734721057","0.338074239193642","0.420689638666987","102275","18504532",0,0,0,1
"46","Montreal","0.458147361523183","0.57515177812225","0.405300659882594","0.531665028075485","2126175","24255358",0,0,0,1
"47","Toronto","0.492046268126955","0.642700192596626","0.447023762779285","0.604945102618881","3100220","27075378",0,0,0,1
"48","London","0.400733725582161","0.493407900014633","0.358011304535552","0.455629512186356","252805","21527718",0,0,0,1
"49","Nunavut","0.402267690474374","0.5395358885465","0.358744756373024","0.531157026728525","15420","13782215",0,1,0,0
"50","Abbotsford   Mission","0.315175369670023","0.368123572468014","0.29224537037037","0.363664285018616","92080","16940540",0,0,0,1
"51","Kingston","0.406089863949552","0.502201153488634","0.37246945376138","0.471266577466334","80560","15406372",0,0,0,1
"52","Saint John","0.397815197535205","0.46048826277845","0.35412359292442","0.433364231562601","64655","16220782",0,0,0,1
